任务ID,阶段,任务名称,优先级,输入,输出,验收标准
T00,M0,建立三库结构 history/save/cache,P0,数据库设计文档,可创建和读取三类数据库,新建存档和读取基础数据成功
T01,M0,实现球员与俱乐部最小数据导入,P0,CSV模板,history.db基础表,100名球员4队导入无错误
T02,M0,实现快速比赛原型,P0,比赛算法文档,单场比分和基础统计,1000场模拟无崩溃
T03,M0,实现存档创建读取,P0,save_manifest设计,save.db,重启后可恢复当前日期和球队
T04,M1,完成阵容页和球员详情页,P0,页面结构文档,Android页面,1200名球员列表搜索小于1秒
T05,M1,完成战术页和首发选择,P0,战术规则,阵型配置,首发可保存并影响比赛评分
T06,M1,实现赛程积分榜,P0,赛季表比赛表,联赛循环,完整赛季积分正确
T07,M1,实现每日推进,P0,赛季推进文档,日期推进服务,每日推进P95小于3秒
T08,M1,实现伤病基础,P1,伤病算法,伤病状态变化,伤病影响出场和能力
T09,M1,实现成长月结,P1,成长算法,CA变化记录,年轻球员成长曲线合理
T10,M2,实现转会搜索,P0,转会系统文档,球员搜索页,按位置年龄能力筛选正确
T11,M2,实现报价谈判,P0,合同规则,报价流程,可完成买卖球员
T12,M2,实现合同续约,P1,工资模型,续约流程,合同年限工资更新正确
T13,M2,实现AI基础转会,P1,AI决策文档,AI买卖逻辑,10个窗口无荒谬大规模交易
T14,M3,实现球探任务,P0,球探系统文档,任务派遣与报告,任务到期生成报告
T15,M3,实现历史新星池,P0,历史新星表,可发现球员,提前签约打断默认路径
T16,M3,实现青训学院,P1,青训规则,青训列表,可提拔外租培养
T17,M4,实现经济通胀模型,P0,经济模型,身价工资动态,20年模拟价格不失控
T18,M4,实现AI俱乐部画像,P1,club_ai_profile,差异化AI行为,豪门和保级队行为不同
T19,M4,实现赛季归档,P0,存档归档文档,season_archive,10年存档体积可控
T20,M5,实现蝴蝶事件基础,P1,蝴蝶算法,butterfly_event,关键转会打断后生成替代反应
T21,M5,实现历史分歧提示,P2,事件文案,玩家可见提示,玩家能理解影响原因
T22,M6,实现董事会基础,P2,董事会需求,目标和满意度,战绩影响满意度
T23,M6,实现更衣室基础,P2,更衣室规则,士气和派系,出场时间影响不满
T24,M6,实现媒体基础,P3,媒体规则,新闻与回应,回应影响士气
T25,M7,实现数据编辑器简版,P2,数据治理文档,编辑页面,可修正球员字段并保存
